date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2015-07-30,,,,72049301.59323,,39311.09375,0.0272119781252705,9206
2015-07-31,,,,72085493.31198,,36191.71875,0.0479335803236398,424
2015-08-01,,,,72113195.49948,,27702.1875,0.0543474632366013,413
2015-08-02,,,,72141422.68698,,28227.1875,0.0632866584607851,432
2015-08-03,,,,72169399.40573,,27976.71875,0.0688128311935261,444
2015-08-04,,,,72197877.84323,,28478.4375,0.0755807880342778,411
2015-08-05,,,,72225406.43698,,27528.59375,0.0804675676004759,411
2015-08-06,,,,72252481.90573,,27075.46875,0.0817631638140986,396
2015-08-07,,,,72279919.56198,,27437.65625,0.0883419303707688,1390
2015-08-08,1.19999,86768712.5207460052,5.78278879,72307862.99948,33531.845565625,27943.4375,0.0964831071616326,1208
2015-08-09,1.19999,86801326.1864631927,4.88081534,72335041.28073,32613.6657171875,27178.28125,0.101359674382084,1113
2015-08-10,1.19999,86834706.7207897552,4.62344756,72362858.62448,33380.5343265625,27817.34375,0.111855484194767,1430
2015-08-11,0.99,71666977.5726102,3.83427474,72390886.43698,27747.534375,28027.8125,0.124449902409336,2697
2015-08-12,1.288,93274715.49833024,4.70208081,72418257.37448,35253.7675,27370.9375,0.130915032416523,1219
2015-08-13,1.8848,136547211.261419904,6.08626751,72446525.49948,53279.762,28268.125,0.143056636363579,1606
2015-08-14,1.79504416247808,130100550.6235669778841513984,5.43349984,72477632.21823,55837.9339060349376,31106.71875,0.179594595227737,1893
2015-08-15,1.78222244301578,129222078.6518518209207592944,4.41871028,72506144.87448,50815.895878744148465625,28512.65625,0.210530124619289,1601
2015-08-16,1.53307377556984,111198807.1900535888737111832,3.78569826,72533239.40573,41537.9153207325164375,27094.53125,0.215717629260323,1542
2015-08-17,1.29638,94067093.6884846324,3.81169381,72561358.31198,36452.787684375,28118.90625,0.241920987638493,1522
2015-08-18,1.08418656925774,78698415.4988737008037434752,3.15009403,72587521.12448,28365.36992650851579375,26162.8125,0.250772424488451,1544
2015-08-19,1.24,90042355.9131052,3.4798352,72614803.15573,33829.71875,27282.03125,0.265572407379485,1592
2015-08-20,1.5218,110537252.032546164,3.98691003,72635860.18698,32044.59015625,21057.03125,0.208179649440934,1378
2015-08-21,1.43588,104334703.9086183424,3.77588797,72662551.12448,38324.9833375,26690.9375,0.260000349573678,1613
2015-08-22,1.4,101766142.230522,3.64363585,72690101.59323,38570.65625,27550.46875,0.294632621132977,1594
2015-08-23,1.35,98167082.2446105,3.49516511,72716357.21823,35445.09375,26255.625,0.29808919024565,1794
2015-08-24,1.23804,90059598.5859762192,3.24203363,72743690.49948,33839.69551875,27333.28125,0.310769917558956,1622
2015-08-25,1.27119,92505038.5810480437,3.28295633,72770426.59323,33986.6550140625,26736.09375,0.305265964761222,1779
2015-08-26,1.18,85899946.1831364,3.0647458,72796564.56198,30842.803125,26137.96875,0.323633506262941,1715
2015-08-27,1.13646,82758264.3222015408,2.96609185,72821097.37448,27880.56009375,24532.8125,0.322899375027665,1751
2015-08-28,1.295,94334692.67729535,3.29829906,72845322.53073,31371.57734375,24225.15625,0.33660581293319,1697
2015-08-29,1.179,85911192.23873067,3.02115454,72867847.53073,26556.975,22525,0.333576122685001,1537
2015-08-30,1.32,96213877.4843136,3.30712308,72889301.12448,28318.74375,21453.59375,0.326130346124924,1768
2015-08-31,1.30651,95258420.9011724898,3.27217355,72910594.56198,27820.089028125,21293.4375,0.344156834755417,1662
2015-09-01,1.36,99186069.9417928,3.31858996,72930933.78073,27661.3375,20339.21875,0.348326154268698,1709
2015-09-02,1.30828087083577,95438206.2736661924479441496,3.21459317,72949324.87448,24060.7161468722869234375,18391.09375,0.343209216883069,1645
2015-09-03,1.23357,90009539.2884841686,3.04856863,72966705.81198,21440.603071875,17380.9375,0.327088889869291,1570
2015-09-04,1.23357,90038012.3970279186,3.03745708,72989787.68698,28473.10854375,23081.875,0.332865484808825,1583
2015-09-05,1.36287107188779,99510599.2896975031291008492,3.30058859,73015416.74948,34929.107880854162896875,25629.0625,0.355329698211909,1641
2015-09-06,1.34,97875723.9411782,3.23900739,73041585.03073,35065.496875,26168.28125,0.363368192852201,1732
2015-09-07,1.27561,93205053.9095916828,3.09867966,73067045.49948,32477.6285421875,25460.46875,0.354665488602261,1791
2015-09-08,1.26349378725891,92352468.3167419795872928668,3.06021213,73092934.24948,32710.2747848991062625,25888.75,0.346384777167368,1697
2015-09-09,1.21,88474432.4434333,2.83894004,73119365.65573,31982.0015625,26431.40625,0.361394179029549,1712
2015-09-10,1.1857,86728986.768170936,2.78973383,73145809.87448,31354.910171875,26444.21875,0.364349878063079,1676
2015-09-11,0.927715708357686,67883786.49239528497124731578,2.25259009,73173048.46823,25269.6712954484886440625,27238.59375,0.390750041844249,1839
2015-09-12,1.14639,83915118.4163457522,2.68992164,73199450.81198,30267.3828515625,26402.34375,0.397402837821797,1693
2015-09-13,0.88557,64846414.2677979411,2.15049852,73225622.21823,23176.6122328125,26171.40625,0.404061403207807,1760
2015-09-14,0.955,69954905.87778465,2.29659908,73251210.34323,24436.659375,25588.125,0.372284107600736,1781
